repo_url,pr_url,matching_js_test_files,matched_terms,found_test_keywords,found_async_keywords
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25525,test/e2e/tests/onboarding/onboarding.spec.js,flaky test,describe(;it(,async
https://api.github.com/repos/DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4453,integration-tests/mocha/mocha.spec.js,flaky test,describe(;it(,promise;async
https://api.github.com/repos/HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP/pull/2250,src/lib/importSystem/tests/record.test.js,race condition,describe(;it(,promise;async
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25648,test/e2e/snaps/test-snap-get-locale.spec.js,race condition;flaky test,describe(;it(,async
https://api.github.com/repos/code-dot-org/code-dot-org,https://github.com/code-dot-org/code-dot-org/pull/59546,apps/test/unit/code-studio/initApp/loadAppTest.js;apps/test/unit/templates/rubrics/RubricContainerTest.jsx,race condition,describe(;it(,async
https://api.github.com/repos/NEARBuilders/gateway,https://github.com/NEARBuilders/gateway/pull/452,playwright-tests/tests/activity.spec.js;playwright-tests/tests/auth.spec.js;playwright-tests/tests/bosloaderenvironment.spec.js;playwright-tests/tests/editor.spec.js;playwright-tests/tests/landing-page.spec.js;playwright-tests/tests/navbar.spec.js;playwright-tests/tests/profile.spec.js;playwright-tests/tests/project.spec.js;playwright-tests/tests/resources.spec.js,flaky test,describe(;test(,promise;async
https://api.github.com/repos/NEARBuilders/gateway,https://github.com/NEARBuilders/gateway/pull/453,playwright-tests/tests/editor.spec.js;playwright-tests/tests/landing-page.spec.js;playwright-tests/tests/project.spec.js;playwright-tests/tests/resources.spec.js,flaky test,describe(;test(,async
https://api.github.com/repos/mozilla/fxa,https://github.com/mozilla/fxa/pull/17185,packages/functional-tests/tests/oauth/totp.spec.ts;packages/functional-tests/tests/resetPassword/resetPasswordWithCode/oauthResetPassword.spec.ts;packages/functional-tests/tests/resetPassword/resetPasswordWithLink/oauthResetPassword.spec.ts;packages/functional-tests/tests/syncV3/signIn.spec.ts,race condition,describe(;test(,promise;async
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25545,test/e2e/tests/swap-send/swap-send-eth.spec.ts,flaky test,describe(;it(,async
https://api.github.com/repos/Comfy-Org/ComfyUI_frontend,https://github.com/Comfy-Org/ComfyUI_frontend/pull/55,browser_tests/interaction.spec.ts,flaky test,describe(;test(,async
https://api.github.com/repos/suredone/qdone,https://github.com/suredone/qdone/pull/67,test/dedup.test.js;test/idleQueues.test.js;test/qrlCache.test.js;test/sqs.test.js,flaky test,describe(;test(,promise;async
https://api.github.com/repos/DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4496,docs/test.ts;integration-tests/ci-visibility/playwright-tests-max-failures/failing-test-and-another-test.js,flaky test,it(,promise
https://api.github.com/repos/DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4497,docs/test.ts;integration-tests/ci-visibility/playwright-tests-max-failures/failing-test-and-another-test.js,flaky test,it(,promise
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25744,test/e2e/snaps/test-snap-metrics.spec.js,flaky test,describe(;it(,promise;async
https://api.github.com/repos/folio-org/stripes-components,https://github.com/folio-org/stripes-components/pull/2318,lib/Selection/tests/Selection-test.js,race condition,describe(;it(,async
https://api.github.com/repos/hmcts/prl-ccd-definitions,https://github.com/hmcts/prl-ccd-definitions/pull/2324,test/end-to-end/tests/CreateSOAFromCitizenJourney_test.js;test/end-to-end/tests/apiUtil_test.js,flaky test,it(,async
https://api.github.com/repos/DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4491,integration-tests/cucumber/cucumber.spec.js,flaky test,describe(;it(,promise;async
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25706,test/e2e/tests/tokens/custom-token-add-approve.spec.js,flaky test,describe(;it(,async
https://api.github.com/repos/parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9181,spec/CloudCode.spec.js;spec/ParseAPI.spec.js,flaky test,describe(;it(;test(,promise;async
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25675,test/e2e/tests/request-queuing/ui.spec.js,flaky test,describe(;it(,async
https://api.github.com/repos/parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9217,spec/batch.spec.js,flaky test,describe(;it(,async
https://api.github.com/repos/parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9210,spec/ParseLiveQuery.spec.js;spec/batch.spec.js,flaky test,describe(;it(,promise;async
https://api.github.com/repos/parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9218,spec/Idempotency.spec.js;spec/RegexVulnerabilities.spec.js,flaky test,describe(;it(,promise;async
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/67734,test/e2e/middleware-rewrites/test/index.test.ts,race condition,describe(;it(,async
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/67767,test/development/jsconfig-path-reloading/index.test.ts;test/development/start-no-build/start-no-build.test.ts;test/development/tsconfig-path-reloading/index.test.ts;test/e2e/app-dir/app-basepath-custom-server/index.test.ts;test/e2e/custom-app-render/custom-app-render.test.ts;test/e2e/multi-zone/multi-zone.test.ts;test/production/custom-server/custom-server.test.ts,race condition,describe(;it(,async
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25899,test/e2e/tests/settings/show-hex-data.spec.js,flaky test,describe(;it(,async
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25913,test/e2e/flask/user-operations.spec.ts,flaky test,describe(;it(;test(,promise;async
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25769,app/scripts/migrations/122.test.ts;test/e2e/accounts/snap-account-signatures-and-disconnects.spec.ts;test/e2e/accounts/snap-account-signatures.spec.ts;test/e2e/snaps/test-snap-siginsights.spec.js;test/e2e/tests/dapp-interactions/signin-with-ethereum.spec.js;test/e2e/tests/metrics/signature-approved.spec.js;test/e2e/tests/petnames/petnames-signatures.spec.js;test/e2e/tests/request-queuing/dapp1-send-dapp2-signTypedData.spec.js;test/e2e/tests/request-queuing/ui.spec.js;test/e2e/tests/signature/personal-sign.spec.js;test/e2e/tests/signature/signature-request.spec.js,flaky test,describe(;it(,async
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25837,app/scripts/lib/snap-keyring/snap-keyring.test.ts;test/e2e/flask/user-operations.spec.ts;ui/components/multichain/account-list-menu/account-list-menu.test.js;ui/components/multichain/create-btc-account/create-btc-account.test.tsx;ui/components/multichain/create-named-snap-account/create-named-snap-account.test.tsx;ui/pages/confirmations/confirmation/templates/create-named-snap-account.test.js,flaky test,describe(;it(,async
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25782,test/e2e/tests/metrics/errors.spec.js;test/e2e/tests/settings/ipfs-ens-resolution.spec.js,flaky test,describe(;it(,promise;async
https://api.github.com/repos/Ontotext-AD/graphdb-workbench,https://github.com/Ontotext-AD/graphdb-workbench/pull/1473,test-cypress/integration/explore/graphs.overview.spec.js,flaky test,describe(;it(,promise
https://api.github.com/repos/DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4518,integration-tests/cypress/cypress.spec.js,flaky test,describe(;it(,promise;async
https://api.github.com/repos/DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4523,integration-tests/cypress/cypress.spec.js,flaky test,describe(;it(,promise;async
